question,answer
عمر آہ نے پرسوں کو کمپنی کو سارے لیپ ٹاپ کی پیمنٹ کرنی ہے,ہاں
اور ان پوائنٹس کی مجھے الگ سے لسٹ بھی شئیر کرنی ہے ,ہاں
ڈیوائیڈ کر لیجییے گا اور چیک اینڈ بیلنس اور ڈیلی کی رپورٹ جو ہے ناں مجھے ضرور سینڈ کیجییے گا مجھے بتائیے گا کہ ان کی پروگریس کس طرح سے جا رہی ہے باقی منتھلی جو ہے میں وہ بھی چیک کیا کروں گی کہ یہ م ان کا منتھلی کیا وہ ہے م آوٹ پٹ یا آوٹ کم کیا جا رہا ہے,ہاں
اور یہ آپ دونوں کے لیے ہے کہ اس ڈیٹا میں سے ایشوز کو آئیڈنٹفائی کریں گے,ہاں
علی آپ نے کل تک ٹیکسٹ لوکلازیشن پیپر میں کچھ رزلٹس ایڈ کرنے ہیں,ہاں
صارم آپ نے نیکسٹ ویک تک ویب سائٹ کو مختلف ڈوائسز اور براؤزرز پر ٹیسٹ کرنا ہے    ,ہاں
تو آج ہی کال کر لیں بلکہ دوبارہ,ہاں
اور کرنے کے بعد آپ نے مجھے بتانا ہے,ہاں
م اچھا ایک اور کام کرنا ہے آپ نے کہ م آپ سارہ سے جو ہے پوچھ کر ٹاسک فائنل کرو کہ آفٹر ہائرنگ جو ہے ٹو ڈیز اور اویلوئیشن ہو گی,ہاں
اس طرح سے تو جو پچھلا ٹیمپلٹ ہی اٹھا کے دیکھ لیجیے گا اسی طرح سے یہ ساری چیزیں مینشن کر دیجیے گا اس پروجیکٹ سے ریلیٹڈ جو بھی سٹیٹس ہے اس کو اپڈیٹ کر دیجیے گا بس,ہاں
ویب سائٹ پر یوزر کا فیڈبیک لینے کے لئے کل ایک بار یوزر کو ویب سائٹ کا ریویو کروائیں ,ہاں
اور سلیکٹ کر کے فائنل مجھے بتا دیں,ہاں
چینجز اور اپ ڈیٹس کو ٹریک کرنے کی ریکویئیرمنٹس کے لیے ایک ورژن کنٹرول سسٹم کو تین دن کے اندر ایمپلیمینٹ کریں۔,ہاں
خضرا نے کیپا ویلویز پہ کام سٹارٹ کرنا ہے,ہاں
م ہاں آپ ناں پھر م یا آپ ایسا کریں کے کمپنی کے ناں بجٹ ڈیپارٹمنٹ میں جائیں آپ ہماری کمپنی کے بجٹ ڈیپارٹمنٹ میں جائیں اور ان سے معلوم کریں کہ ان کے پاس کتنا بجٹ ہے ٹھیک ہے,ہاں
علی آپ نے کل کو فلیمز کے سارے آرکٹیچر کو اکسپلین کرنا ہے,ہاں
ٹھیک ہے اب آپ نے اسے اپنے حساب سے سیٹ کر لینا ہے,ہاں
آپ ایسا کریں کل ان کی کمپنی میں جائیں اور وہاں ان کے مینیجر کو کمپلینٹ کریں,ہاں
:م: اچھا میں کہہ رہی تھی کہ علی آپ نیکسٹ میٹنگ سے پہلے ناں سسٹم ریکوائرمنٹس کو لسٹ ڈاؤن کر کے آئیے گا ناں تاکہ ہم دیکھ لیں کہ سسٹم ریکوائرمنٹس ہماری بیسکلی ہیں کیا,ہاں
اور ایسا ہے کہ الیحہ ٓپ نےکلائنٹ اور باقی ٹیم ممبرز سے کورڈینیٹ کرنا ہے ٹائم ٹو ٹائم تاکہ کوئی مسئلہ نہ ٓئے,ہاں
تو آپ نہ مجھے اپنا شیڈول بتا دینا ہے تاکہ ہم اس حساب سے میٹنگ کنڈکٹ کریں,ہاں
کوشش کیجیے گا کہ اس میٹنگ کے بعد ہی کر لیجئے گا,ہاں
آپ تب تک ایک کام کریں یہ جو میں نے مارک کیے ہیں آپ انکو کانٹیکٹ وغیرہ کریں,ہاں
ہاں جی منڈے کو بلا لیں ان کو,ہاں
علی آپ نے جو بریرہ کے ساتھ ہیڈنگز شئیر کریں گی وہ لیٹکس پہ ہی لکھ کے سینڈ کرنی ہیں,ہاں
مائرہ آپ کچھ پیپرز پڑھیں گی یعنی کورپس کیسے جنریٹ ہو گا سیگمینٹیشن کیسے ہو گی جیسے ای ایم آئی کورپس آئی سی ایس آئی اور ای ایل آئی ٹی آر کارپس تاکہ آپ کو پتا ہو کہ آپ کیسا ڈیٹا پروسس کرنے جا رہی ہیں کیا ریکوائرمنٹس ہیں,ہاں
آپ کا فائینل آج ٹاپک کر کے میل کر دوں گی,ہاں
چلیں آپ لوگ یہ بھی ڈسکس کر لینا اور پھر ڈیسائیڈ کر لینا,ہاں
وسیم آپ ساتھ ساتھ سارے پوائنٹس نوٹ کر لیں,ہاں
ثناء ایک بار مجھے کویسچنز چیک کروا لینا,ہاں
جو :م: آپ نے اس کا جو ڈاکومنٹ بنایا ہو گا ناں وہ آپ لازمی میرے ساتھ شیئر کرنا,ہاں
علی آپ نے کل کو ایک میٹنگ ارینج کرنی ہے جس میں ہم پروجیکٹ کے سکوپ کے بارے میں ڈسکس کر سکیں,ہاں
علی آپ نے ینویک فیچرز اور ریکورمنٹ کو کل تک سپیسفائی کرنا ہے,ہاں
  اور ارحم آپ نے ہر ویک ہر ٹاسک کا سٹیٹس چیک کرنا ہے  ,ہاں
بلکہ ایسا کریں آپ جو پروگریس کا ڈاکومنٹ ریڈی کرنا ہیں نا اس کے نیچے ہی یہ بھی ایڈ کر لینا,ہاں
مجھے یہ ریمائنڈ کروادیجیے گا نیکسٹ میٹنگ میں,ہاں
م پھر اب ناں آپ ایسا کریں کہ کسی ناں اور کمپنی کو آرڈر دے دیں,ہاں
تو ہم اس کو پھر بلا لیں گے تو آپ کریں ان کو کال اور ان سے بات کریں ٹھیک ہے,ہاں
اس کا ایک ڈاکومنٹ ریڈی کرنا ہے,ہاں
آپ لوگ اسکا ڈیٹیل پلان بنا کر میرے ساتھ شیئر کر دیجیئے گا,ہاں
تو آپ انہیں کہیے گا کہ وہ پھر ریکارڈنگ ہی سن لیں,ہاں
چلیں ٹھیک ہے آپ ان کو کال کر کے مجھے بتائیے گا کہ کیا کہا انہوں نے نیکسٹ میٹنگ میں پھرملاقات ہو گی انشاءاللہ,ہاں
ڈسکس کی گئی ریکویئیرمنٹس پر اور زیادہ ڈٹیلز ایڈ کرنے کے لیے ٹیم کےارکان کواس ہفتے تک آسائین کریں۔,ہاں
آپ مریم کے ساتھ مل کے ان پہ کام کرو فائنل ہو جائے گا تو پھر مجھے بتانا,ہاں
جی اور آپ ان کو کال کر کے انفارم کردیں کہ ہم نے ان کو اپنے نیکسٹ آرڈر کے لیے سلیکٹ کر لیا ہے,ہاں
علی آپ نے پی پی ٹی کی فائل بھی شئیر کرنی ہے جس میں تمام ایف اون اسکور کی لسٹ ہو,ہاں
آپ مجھے وہ ریمز کا سٹیٹس دیجیے گا نیکسٹ میٹنگ میں جو ایکسٹینڈ کروانے کے لیے آپ کو کہا تھا,ہاں
ویکلی بیسز پر ارہم اپ نے ڈیش بورڈ چیک کرنا ہے تاکہ ٹیسٹ کیسز کا اکاؤنٹ دیکھا جا سکے اور پرفارمنس کو مانیٹر کیا جا سکے  ,ہاں
جی چلیں {حرا} آپ کی رسپانسیبلٹی ہے کے آپ میٹنگ کے بعد آپ یہ ڈاکومنٹ {ماورا} کے ساتھ سینڈ کر دیں,ہاں
ڈرائیو پہ اپ لوڈ کر کے اس کا لنک ادھر سامنے دے دیجیئے گا ایکسل شیٹ پہ,ہاں
ریکوائرمنٹ ڈاکومنٹ کی کمپلیشن تک وہ ڈاکومنٹیشن ٹیم کے ساتھ کام کرے گی,ہاں
اب آپ ایسا کریں کہ فنانس ڈیپارٹمنٹ کو ناں ایک نیا لیٹر ایشو کریں,ہاں
باقی ساری چیزیں ٹھیک ہے اور اس کے علاوہ پھر جو جو چیزیں ابھی تک میٹنگ میں ڈسکس ہوئی ہیں آپ نے نوٹ کی ہوئی ہوں گی وہ وہ ڈاکومنٹ بھی شیئر کر دیجیے گا جتنے بھی میٹنگ کے پارٹیسپینٹس ہیں,ہاں
عامر آپ ڈویلپمنٹ ٹیم کے ساتھ ایک میٹنگ ارینج کر لینا,ہاں
جو جو ماڈلز یوز کرنے ہیں ان کو اچھے سے سٹڈی کریں اور نیکسٹ میٹنگ میں اسے مجح سے ڈسکس کریں۔,ہاں
اگلے مہینے تک پلیٹ فارمز کو ڈیٹیرمائن کریں جہاں ایڈز دکھائے جائیں گے۔,ہاں
اور ڈیلی بیس پر بھی اپڈیٹ دینی ہے,ہاں
اور :م: لاگ اور لاگ ان کے لیے جو فیسیلٹیز ریکوائرڈ ہوں گی ان کو بھی ہمیں دیکھنا ہو گا,ہاں
سب انکلیوڈ کرنا ہے ڈاکومنٹ میں,ہاں
ڈپلائے مینٹ کے بعد آپ نے ڈاکومنٹیشن کمپلیٹ کرنی ہے,ہاں
صبا اپ کی رسپونسبلٹی یہ ہے کہ اپ ہر ریلیز سے پہلے ٹیسٹ کیسیز کے اسٹیٹس خود سے چیک کرکے اپڈیٹ کیا کریں گی,ہاں
جو پاسیبل آپٹیمائزیشنز ہو سکتی ہیں انکو ڈسکس کر لیں,ہاں
ٹیکسٹ فائل بنا لیں یا پھر ورڈ کی فائل بنالیں اس کے اندر سارے پوائنٹس کو مینشن کر دی جیئے گا,ہاں
جو سٹینڈرڈ جس سے ہم ان کو مئیژر کرِیں گے وہ بھی مینشن کر دینا,ہاں
اس ویک قاسم آپ نے ڈیفرنٹ سوالوں کے لیے سکورنگ الگوردمز کو ڈیفائن کرنے پر ایکسپر سے کالیبریٹ کرنا ہے ,ہاں
پھیپھڑوں کی بیماری کا پتہ لگانے کے لیے سوٹیبل ڈیپ لرننگ یا مشین لرننگ ماڈل تین ہفتوں تک ڈیزائن  کریں۔,ہاں
پھرمجھ سے سائن کروا لینا ,ہاں
 اور عائشہ آپ نے ہر ویک جو ٹاسک کمپلیٹیڈ ہوں ان کو ٹیسٹنگ ٹیم کو فارورڈ کرنا ہے      ,ہاں
 عروسہ آپ ڈیٹا کلیننگ پروسس سٹارٹ کرنے سے پہلے ہی ایک ڈاکومنٹڈ فارم میں ساری گائیڈ لائنز مجھ سے چیک کروا لیں,ہاں
بجٹ ایلوکیٹ کرنے کا پلین بنانے کے لیے ٹیم  کو کل تک آسائین کریں۔,ہاں
جی جی آپ نے کلائنٹ سے موک آپس ریویو کروانے ہیں,ہاں
پروجیکٹ کے لیے جو بھی ٹیم ریکوائر ہے اس کے لیے ٓپ مجھے ایک لسٹ بنا دینا,ہاں
آپ نے فنکشنل اور نان فنکشنل دونوں ریکوائرمنٹس انکلیوڈ کرنی ہیں اس میں ,ہاں
اسٹیک ہولڈرز کے ساتھ ان کا جائزہ لے کر ریکویئیرمنٹس کی ویلیڈیشن اسی مہینے میں کریں,ہاں
اسٹیک ہولڈر کی ضروریات بیس پر ریکویئیرمنٹس کو ترجیح دیں۔,ہاں
{ماریہ} کی بھی آئی گیس وہ انٹرنیٹ کا درمیان میں ایشو ہو گیا تھا تو ان انہوں نے بھی میٹنگ جو ہے وہ لیو کر دی تھی تو ان کو بھی لازمی بتا دیجیے گا آپ دونوں میں سے کوئی بھی کہ کیا کیا میٹنگ میں ڈسکس ہوا تھا,ہاں
ہاں جی شور آپ اس طرح کریں کہ اس کا ایک ڈیٹیلڈ ڈیزائن ڈاکومنٹ بنا لیں تو :م: نیکسٹ میٹنگ سے پہلے پہلے مجھ سے شیئر کر دیں تاکہ میں بھی ایک بار گو تھرو کر لوں اس کو,ہاں
یس اور اس نوٹس میں پیمنٹ ڈیڈ لائن مینشن کر دیں,ہاں
ٹریننگ ڈیٹا سیٹ کو ماڈل پر ٹرین کریں اور رپورٹ کریں مجھے,ہاں
اور یس سر میں اپ کی کل کلائنٹ کے ساتھ میٹنگ رکھوا دوں گا,ہاں
تو مجھے آپ اس کا سکیجول بنا کر آج ہی سینڈ کر دینا,ہاں
اچھا آپ لوگ نا ایسا کرنا کہ ویب سرور کی لسٹ بنا لینا,ہاں
ٹیسٹنگ سٹریٹیجیز میں آپ نے کراس ویلیڈیشن تیکنیک کو بھی انکلیوڈ کرنا ہے,ہاں
ٹھیک ہے اس ویک کے اینڈ تک آپ ہو ڈاکومنٹیشن بھی شیئر کر دیں مجھے ,ہاں
اور اس کے علاوہ آپ نے مجھے جو جو ڈائاگرامز بنتی جائیں گی وہ مجھے ساتھ ساتھ ای میل کرتے جائیے گا,ہاں
جو ویب سائٹ کی پروٹو ٹائپ لاسٹ ٹائم بنائی تھی وہ اج ہی کسٹمر سے کنفرم کروائیں ,ہاں
